name,description,price,originalPrice,discount,stock_quantity,category,brand,sku
Wireless Headphones Pro,Premium wireless headphones with active noise cancellation and 40-hour battery life,12999,16999,23,150,Headphones,TechBrand,WHP-001
4K Webcam HD,Professional 4K USB webcam with auto-focus and built-in microphone,4999,6999,29,75,Cameras,ProVision,WCM-001
Gaming Mechanical Keyboard,RGB mechanical keyboard with Cherry MX switches and customizable lighting,6499,8999,28,200,Accessories,GameGear,GMK-001
Portable SSD 1TB,Ultra-fast portable SSD with 1050MB/s read speed and rugged design,8999,11999,25,100,Accessories,StoragePro,PSS-001
Smart Watch Pro,Advanced smartwatch with heart rate monitor and 7-day battery life,14999,19999,25,120,Wearables,TechBrand,SWT-001
USB-C Hub Multi-port,7-in-1 USB-C hub with HDMI 4K and multiple USB ports for connectivity,2999,3999,25,250,Accessories,TechConnect,HUB-001
Laptop Stand Adjustable,Premium aluminum laptop stand with adjustable height and cooling design,1999,2999,33,300,Accessories,StandPro,LPS-001
Wireless Mouse Silent,Ergonomic wireless mouse with silent clicks and 18-month battery life,799,1299,38,400,Accessories,MousePro,MSE-001
USB Flash Drive 64GB,Fast USB 3.1 flash drive with 64GB storage and metal design,799,1299,38,500,Accessories,StoragePro,USB-001
Phone Screen Protector,Tempered glass screen protector with 9H hardness and easy installation,299,499,40,1000,Accessories,ProtectPro,SPP-001
